source,target
29_ottobre_1974,Premio_finale
29_ottobre_1973,Premio_finale
29_ottobre_1972,Premio_finale
29_ottobre_1971,Premio_finale
29_ottobre_1970,Premio_finale
29_ottobre_1969,Premio_finale
29_ottobre_1968,Premio_finale
17_luglio_1969,Premio_finale
Importo_1500000_5,Premio_finale
Importo_3000000_18,Premio_finale
Importo_3000000_17,Premio_finale
Importo_3000000_16,Premio_finale
Importo_2000000_1,Premio_finale
Importo_2500000_1,Premio_finale
Importo_3000000_15,Premio_finale
Importo_3000000_14,Premio_finale
Importo_3000000_13,Premio_finale
Importo_3000000_12,Premio_finale
Importo_3000000_11,Premio_finale
Importo_3000000_10,Premio_finale
Importo_3000000_9,Premio_finale
Importo_3000000_8,Premio_finale
Importo_4000000_8,Premio_finale
Importo_4000000_7,Premio_finale
Importo_5000000_8,Premio_finale
Importo_5000000_7,Premio_finale
Importo_5000000_6,Premio_finale
Importo_5000000_5,Premio_finale
Importo_5000000_4,Premio_finale
Importo_6000000_3,Premio_finale
Importo_6000000_2,Premio_finale
Importo_6000000_1,Premio_finale
Importo_1500000_4,Premio_finale
Importo_1500000_3,Premio_finale
Importo_5000000_3,Premio_finale
Importo_1000000_2,Premio_finale
Importo_1000000_1,Premio_finale
Importo_1500000_2,Premio_finale
Importo_1500000_1,Premio_finale
Importo_1800000_1,Premio_finale
Importo_3000000_7,Premio_finale
Importo_8000000_3,Premio_finale
Importo_3000000_6,Premio_finale
Importo_3000000_5,Premio_finale
Importo_3000000_4,Premio_finale
Importo_4000000_5,Premio_finale
Importo_4000000_4,Premio_finale
Importo_4000000_3,Premio_finale
Importo_4000000_2,Premio_finale
Importo_4000000_1,Premio_finale
Importo_5000000_2,Premio_finale
Importo_10000000_3,Premio_finale
Importo_10000000_2,Premio_finale
Importo_8000000_2,Premio_finale
Importo_8000000_1,Premio_finale
Importo_10000000_1,Premio_finale
Importo_11000000_1,Premio_finale
Importo_15000000_2,Premio_finale
Importo_15000000_1,Premio_finale
Importo_20000000_4,Premio_finale
Importo_20000000_3,Premio_finale
Importo_20000000_2,Premio_finale
