id;label;type;node_value;x;y
""I_senza_tetto"_dell'Università_Cattolica_Sacro_Cuore_di_Roma";""I senza tetto" dell'Università Cattolica Sacro Cuore di Roma";"Soggetto beneficiario";"500000";1023.9676513671875;1093.4736328125
"Alessandro_Fersen_"Golem"";"Alessandro Fersen "Golem"";"Soggetto beneficiario";"15000000";1007.8234252929688;1122.123291015625
"Alessandro_Ninchi";"Alessandro Ninchi";"Soggetto beneficiario";"4000000";947.3926391601562;1070.2696533203125
"Alfieri";"Alfieri";"Soggetto beneficiario";"8000000";1011.6869506835938;1023.4541015625
"Alfred_Jarry";"Alfred Jarry";"Soggetto beneficiario";"1800000";1013.5783081054688;1016.8692626953125
"Amleto_Zamperla";"Amleto Zamperla";"Soggetto beneficiario";"500000";926.1564331054688;1106.8343505859375
"Angelicum";"Angelicum";"Soggetto beneficiario";"27000000";1010.0472412109375;1067.4161376953125
"Associati";"Associati";"Soggetto beneficiario";"20000000";990.1378173828125;999.7599487304688
"Associazione_di_Cultura_Teatrale_-_Teatro_Club_"Premio_Roma_70"";"Associazione di Cultura Teatrale - Teatro Club "Premio Roma 70"";"Soggetto beneficiario";"45000000";982.4985961914062;1097.0447998046875
"Associazione_Teatro_Giovani_di_Valerio_Vancheri_di_Milano";"Associazione Teatro Giovani di Valerio Vancheri di Milano";"Soggetto beneficiario";"5000000";1020.8729858398438;1095.0401611328125
"Associazione_Teatro_Giovani_Guglielmo_Viti";"Associazione Teatro Giovani Guglielmo Viti";"Soggetto beneficiario";"7000000";1026.1090087890625;1070.43017578125
"Associazione_Universitaria_Teatrale_Romana";"Associazione Universitaria Teatrale Romana";"Soggetto beneficiario";"1000000";1025.885009765625;1073.977783203125
"Bar-Bellei-Bussoino-Rizzoli";"Bar-Bellei-Bussoino-Rizzoli";"Soggetto beneficiario";"9000000";956.8563232421875;1041.39599609375
"Bax-Bellei-Bussolini-Rizzoli";"Bax-Bellei-Bussolini-Rizzoli";"Soggetto beneficiario";"355000";953.5706176757812;1054.6260986328125
"Biondo";"Biondo";"Soggetto beneficiario";"6500000";1015.5872192382812;1027.6676025390625
"Brignone-Santuccio";"Brignone-Santuccio";"Soggetto beneficiario";"16000000";966.0398559570312;1012.99658203125
"Brignone-Santuccio_(Cooperativa_Attori_e_Autori_Italiani)";"Brignone-Santuccio (Cooperativa Attori e Autori Italiani)";"Soggetto beneficiario";"15000000";952.3958129882812;1072.7928466796875
"Brignone-Santuccio-Millo";"Brignone-Santuccio-Millo";"Soggetto beneficiario";"5450000";949.4935913085938;1035.921630859375
"Carignano";"Carignano";"Soggetto beneficiario";"10000000";1008.361083984375;1021.7384643554688
"Carrara-Laurini";"Carrara-Laurini";"Soggetto beneficiario";"1200000";925.7576904296875;1101.7998046875
"Carro_di_Tespi";"Carro di Tespi";"Soggetto beneficiario";"17000000";1005.65869140625;1083.58544921875
